"province_id","province_name","constituency_id","constituency_name","type","osn","candidate_name","party_name","evm_votes","postal_votes","total_votes","vote_share"
"S01","Andhra Pradesh",1,"Aruku ","State",1,"KISHORE CHANDRA DEO","Telugu Desam",336163,1938,338101,31.46
"S01","Andhra Pradesh",1,"Aruku ","State",2,"Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY","Bharatiya Janata Party",17578,289,17867,1.66
"S01","Andhra Pradesh",1,"Aruku ","State",3,"GODDETI. MADHAVI","Yuvajana Sramika Rythu Congress Party",557561,4629,562190,52.32
"S01","Andhra Pradesh",1,"Aruku ","State",4,"SHRUTI DEVI VYRICHERLA","Indian National Congress",17656,74,17730,1.65
"S01","Andhra Pradesh",1,"Aruku ","State",5,"GANGULAIAH VAMPURU.","Janasena Party",42245,549,42794,3.98
"S01","Andhra Pradesh",1,"Aruku ","State",6,"SWAMULA. SUBRAHMANYAM","Jana Jagruti Party",4705,5,4710,0.44
"S01","Andhra Pradesh",1,"Aruku ","State",7,"ANUMULA VAMSIKRISHNA","Independent",10211,29,10240,0.95
"S01","Andhra Pradesh",1,"Aruku ","State",8,"KANGALA BALUDORA","Independent",13810,16,13826,1.29
"S01","Andhra Pradesh",1,"Aruku ","State",9,"NARAVA SATYAVATHI","Independent",11231,5,11236,1.05
"S01","Andhra Pradesh",1,"Aruku ","State",10,"BIDDIKA RAMAYYA.","Independent",7863,4,7867,0.73
"S01","Andhra Pradesh",1,"Aruku ","State",11,"NOTA","None of the Above",47955,22,47977,4.46
"S01","Andhra Pradesh",2,"Srikakulam","State",1,"KINJARAPU RAM MOHAN NAIDU","Telugu Desam",529213,5331,534544,46.19
"S01","Andhra Pradesh",2,"Srikakulam","State",2,"DOLA JAGAN","Indian National Congress",13456,289,13745,1.19
"S01","Andhra Pradesh",2,"Srikakulam","State",3,"DUVVADA SRINIVAS","Yuvajana Sramika Rythu Congress Party",520931,6960,527891,45.61
"S01","Andhra Pradesh",2,"Srikakulam","State",4,"PERLA SAMBA MURTHY","Bharatiya Janata Party",7357,1033,8390,0.72
"S01","Andhra Pradesh",2,"Srikakulam","State",5,"MATTA SATISH CHAKRAVARTHY","Pyramid Party of India",1441,7,1448,0.13
"S01","Andhra Pradesh",2,"Srikakulam","State",6,"METTA RAMARAO","Janasena Party",31319,637,31956,2.76
"S01","Andhra Pradesh",2,"Srikakulam","State",7,"NAMBALLA KRISHNA MOHAN","Independent",4829,7,4836,0.42
"S01","Andhra Pradesh",2,"Srikakulam","State",8,"NAIDUGARI RAJASEKHAR","Independent",5151,5,5156,0.45
"S01","Andhra Pradesh",2,"Srikakulam","State",9,"BETHA VIVEKANANDA MAHARAJ","Independent",3814,4,3818,0.33
"S01","Andhra Pradesh",2,"Srikakulam","State",10,"NOTA","None of the Above",25500,45,25545,2.21
"S01","Andhra Pradesh",3,"Vizianagaram","State",1,"Ashok Gajapathi Raju Pusapati","Telugu Desam",527307,3075,530382,43.55
"S01","Andhra Pradesh",3,"Vizianagaram","State",2,"Adiraju Yedla","Indian National Congress",15607,118,15725,1.29
"S01","Andhra Pradesh",3,"Vizianagaram","State",3,"Bellana Chandra Sekhar","Yuvajana Sramika Rythu Congress Party",573466,4952,578418,47.49
"S01","Andhra Pradesh",3,"Vizianagaram","State",4,"Sanyasi Raju Pakalapati","Bharatiya Janata Party",6902,364,7266,0.6
"S01","Andhra Pradesh",3,"Vizianagaram","State",5,"P.V.A. Ananda Sagar","Samaanya Praja Party",4981,2,4983,0.41
"S01","Andhra Pradesh",3,"Vizianagaram","State",6,"Chiranjeevi Lingala","Andhra Chaitanya Party",1261,2,1263,0.1
"S01","Andhra Pradesh",3,"Vizianagaram","State",7,"Mukka Srinivas Rao","Janasena Party",33779,413,34192,2.81
"S01","Andhra Pradesh",3,"Vizianagaram","State",8,"Lagudu. Govinda Rao","Jana Jagruti Party",787,4,791,0.06
"S01","Andhra Pradesh",3,"Vizianagaram","State",9,"Surya Bhavani. K","Pyramid Party of India",822,8,830,0.07
"S01","Andhra Pradesh",3,"Vizianagaram","State",10,"Yella Rao Siyyadula","Independent",1010,0,1010,0.08
"S01","Andhra Pradesh",3,"Vizianagaram","State",11,"Dhanalakoti Ramana","Independent",1172,4,1176,0.1
"S01","Andhra Pradesh",3,"Vizianagaram","State",12,"Pentapati Rajesh","Independent",1461,1,1462,0.12
"S01","Andhra Pradesh",3,"Vizianagaram","State",13,"Ijjurouthu Ramunaidu","Independent",4550,3,4553,0.37
"S01","Andhra Pradesh",3,"Vizianagaram","State",14,"Venkata Trindha Rao Veluri","Independent",6336,2,6338,0.52
"S01","Andhra Pradesh",3,"Vizianagaram","State",15,"NOTA","None of the Above",29468,33,29501,2.42
"S01","Andhra Pradesh",4,"Visakhapatnam","State",1,"DAGGUBATI PURANDESWARI","Bharatiya Janata Party",33430,462,33892,2.73
"S01","Andhra Pradesh",4,"Visakhapatnam","State",2,"PEDADA. RAMANIKUMARI","Indian National Congress",14550,83,14633,1.18
"S01","Andhra Pradesh",4,"Visakhapatnam","State",3,"BHARAT MATHUKUMILLI","Telugu Desam",431093,1399,432492,34.89
"S01","Andhra Pradesh",4,"Visakhapatnam","State",4,"M V V SATYANARAYANA","Yuvajana Sramika Rythu Congress Party",433968,2938,436906,35.24
"S01","Andhra Pradesh",4,"Visakhapatnam","State",5,"GEORGE BANGARI","Viduthalai Chiruthaigal Katchi",3027,1,3028,0.24
